concept	facet	property
electronic device	purpose	browsing
electronic device	size	medium
electronic device	size	compact
electronic device	purpose	multimedia
electronic device	purpose	multifunctional
electronic device	function	information processing
electronic device	operating system	windows
electronic device	purpose	personal use
electronic device	used for	entertainment
electronic device	function	gaming
electronic device	output methods	monitor
electronic device	output methods	display
electronic device	function	multimedia
electronic device	function	computing
electronic device	function	processing information
electronic device	function	education
electronic device	function	communication
electronic device	function	entertain
electronic device	output methods	print
electronic device	function	tv
electronic device	function	computer
electronic device	function	compute
electronic device	function	productivity
electronic device	function	gaming console
electronic device	function	assist
electronic device	function	control
electronic device	features	microphone
electronic device	usage	professional
electronic device	operating system	macos
electronic device	function	phone
electronic device	function	communicate
electronic device	functionality	wireless connectivity
electronic device	function	information
electronic device	features	camera
electronic device	used for	education
electronic device	purpose	business use
electronic device	purpose	productivity
electronic device	purpose	information
electronic device	purpose	education
electronic device	purpose	entertainment
electronic device	purpose	communication
electronic device	output	speaker
electronic device	output	display
electronic device	output	wireless
electronic device	output method	screen
electronic device	output method	projector
electronic device	output method	speaker
electronic device	output method	display
electronic device	output method	print
electronic device	output method	monitor
electronic device	output method	headphones
electronic device	output methods	tv
electronic device	used for	streaming
electronic device	output methods	speaker
electronic device	purpose	work
electronic device	functionality	multimedia playback
