person	 male or female 
output	 output 
outreach	 reach 
outside	 in front of 
outskirts	 periphery 
oval	 shapes in geometry 
oven	 used for cooking 
overseas territory	 territory 
oversight	 watch 
overview	 reviews 
owner	 components of a business 
ownership	 rights 
oxford	 types of shoes 
oxygen	 gases in the air 
pack	 types of outdoor gear 
package	 containers for carrying items 
package film	 used for photography 
packaging	 used for packing 
pact	 agreement 
pad	 essential for playing basketball 
page	 parts of a book 
pageant	 performance 
pain	 causes a desire to scream 
paint	 used for painting walls 
painter	 professions in the art world 
painting	 art forms 
pair	 more than one 
palace	 types of buildings 
palm	 types of trees 
pan	 used for cooking food 
pandemic	 epidemics 
panel	 electronic devices 
pants	 used for clothing 
paper	 located in cabinets 
para	 types of dance 
parade	 types of public events 
parade ground	 used for military training 
parallel	 types of lines 
parallel universe	 universe 
parent	 related to child development 
parent company	 corporations 
parish	 religious organizations 
parish church	 religious buildings 
parliament	 legislative bodies 
part	 aspects of a whole 
participant	 involved in scientific research 
participation	 part of sports 
partner	 roles in a relationship 
partnership	 business models 
party	 types of social events 
party game	 types of games 
pass	 used for identification 
passage	 transitions 
passenger	 types of air travel 
passenger car	 types of vehicles 
passenger ship	 types of boats 
passenger train	 train 
passing	 driving 
passion play	 theatrical performances 
pasta	 italian dishes 
pastor	 religious leaders 
patch	 used for quilting 
patent	 legal documents 
path	 walkways 
patience	 traits of a good listener 
patient	 involved in medical treatment 
patriarch	 religious leaders 
patriot	 types of nationalists 
patron	 customers 
patron saint	 saint 
pattern	 used for knitting 
pavilion	 types of buildings 
pay	 wages 
payment	 cash 
payment service	 service 
payroll	 payments 
peace	 causes peace 
peace treaty	 types of treaties 
peak	 parts of a mountain 
pearl	 found in the ocean 
peer	 types of social organizations 
pen	 used for writing or drawing 
penalty	 violations 
peninsula	 geographic features 
pen name	 types of names 
pepper	 commonly used spices 
percent	 units of measurement 
percentage	 types of measurements 
perception	 sensing 
perennial	 types of plants 
performance	 part of music 
performance art	 art 
performer	 involved in music performance 
performing art	 art 
period	 part of a cycle 
permission	 requests 
permit	 licenses 
persecution	 punishment 
personal assistant	 types of administrative professionals 
personal computer	 types of computers 
personality	 parts of a human being 
personality disorder	 mental disorder 
personal life	 life 
personal name	 nouns 
personal property	 owned by individuals 
personal trainer	 fitness professionals 
personal union	 union 
personnel	 workers 
perspective	 points of view 
pet	 types of animals 
petition	 requests 
petroleum	 liquid hydrocarbons 
pharmacy	 medical facilities 
phase	 states 
phase transition	 physical phenomenons 
phenomenon	 events 
philosopher	 professions 
philosophy	 social sciences 
phone	 types of electronics 
photo	 types of art forms 
photograph	 used for displaying images 
photographer	 professions related to photography 
photography	 art forms 
phrase	 parts of language 
physical	 types of intelligence 
physical law	 law 
physical quantity	 units 
physical system	 systems 
physician	 medical professionals 
physics	 academic subjects 
pianist	 musicians 
piano	 musical instruments for playing 
piano player	 musicians 
piazza	 types of public spaces 
pick	 part of a musician's kit 
picking	 cause picks 
pickup	 types of guitars 
pickup truck	 vehicles for transportation 
picture	 artistic mediums 
picture book	 types of children's literature 
pie	 desserts 
piece	 part of a chess game 
pier	 used for boating 
pig	 domesticated animals 
pilgrimage	 journeys 
pilot	 related to aviation 
pink	 types of colors 
pioneer	 adventurers 
pipe	 made of metal 
pipeline	 used for transporting materials 
pirate	 types of adventure stories 
pistol	 types of firearms 
pit	 pits 
pitch	 components of music composition 
pitched battle	 battle 
pitcher	 used for drinking 
pizza	 italian dishes 
placement	 placements 
place name	 name 
plague	 diseases 
plain	 types of terrain 
plan	 components of a game 
plane	 used for flying 
planning	 components of project management 
plant	 living organisms 
plantation	 estates 
plant disease	 diseases 
planting	 cultivation 
plaque	 decorative items 
plastic	 types of materials used for making things 
plastic explosive	 explosive 
plastic surgeon	 medical professionals 
plate	 used for serving food 
plateau	 geological formations 
platform	 shoe types 
platform game	 types of video games 
platinum	 precious metals 
player	 part of a sports team 
player character	 types of characters in video games 
playing	 cause a desire to play 
playing card	 used for entertainment 
playing field	 essential for playing soccer 
playwright	 theatre professions 
plaza	 types of public spaces 
pleasure	 good 
pledge	 pledges 
plot	 elements of a story 
plot device	 elements of a story 
plug	 part of a power outlet 
pneumonia	 illnesses 
pocket	 clothing items 
poem	 types of literature 
poet	 types of writers 
poetry	 literary forms 
point	 part of a geometric shape 
point guard	 positions in basketball 
poison	 medicine 
poisoning	 causes death 
poker	 types of card games 
pole	 essential for ice skating 
police	 have handcuffs 
police chief	 related to law enforcement 
police department	 government agencies 
police dog	 dogs 
police force	 agencies 
policeman	 types of law enforcement 
police officer	 professions related to law enforcement 
police service	 public services 
policy	 guideline 
polish	 types of cleaning products 
political science	 social sciences 
political scientist	 academic disciplines 
political system	 systems 
politics	 disputes 
poll	 voting systems 
polling	 voting 
pollution	 causes respiratory problems 
polo	 sports played on a field 
pond	 types of water bodies 
pool	 used for swimming 
pop	 genres of music 
pope	 religious figures 
pop group	 types of musical groups 
pop music	 music 
pop musician	 musician 
pop rock	 types of music 
pop star	 celebrity types 
popular assembly	 assembly 
popularity	 fame 
popular music	 music 
population	 part of demographics 
populist	 types of political ideology 
pork	 meaty 
pornography	 films 
port	 seaports 
portable computer	 used for work 
portal	 types of entrances 
port city	 tall and narrow 
porter	 beers 
portfolio	 used for organizing documents 
portion	 doses 
portland	 types of cement 
portrait	 types of art 
portrayal	 representations 
position	 part of a sports game 
possession	 possession 
possibility	 likelihood 
post	 used for mail 
poster	 used for displaying artwork 
pot	 used for cooking or baking 
potato	 high in carbohydrates 
potential	 energy 
potter	 craftsmans 
pottery	 art 
poultry	 common sources of meat 
powder	 used for makeup 
power	 used for lighting 
power hitter	 types of baseball players 
power line	 electrical components 
power plant	 types of industrial facilities 
power station	 power generation facilities 
power supply	 components of a computer 
power vacuum	 vacuum 
practice	 cultivation 
prairie	 types of landscape 
praise	 flattery 
prayer	 religious practices 
precision	 accuracy 
predecessor	 ancestor 
prediction	 forecasts 
prefecture	 districts 
preference	 liking 
pregnancy	 medical conditions 
premier	 types of theater performances 
premiere	 theatrical performances 
premiership	 soccer 
premise	 propositions 
premium	 types of cigarettes 
preparation	 part of cooking 
prescription drug	 drug 
presence	 located in meetings 
presentation	 displays 
preservation	 protection 
president	 top leaders 
press	 used for printing 
press agency	 abbreviated to pa 
press agent	 advertising agent 
pressure	 causes pressure 
pressure group	 group 
prevention	 prevention 
preview	 vantage points 
prey	 animals 
price	 features of a product 
pricing	 practice 
pride	 emotion 
priest	 religious leaders 
primary election	 election 
primary school	 types of educational institutions 
primary source	 sources 
prime minister	 leaders of a country 
prime number	 types of numbers 
prince	 types of royalty 
princess	 feminine 
principal	 principal 
principle	 doctrines 
print	 forms of media 
printing	 processes 
priority	 levels of importance 
prison	 types of facilities 
prisoner	 prisoners 
prison gang	 criminal organization 
private detective	 professions 
private investigator	 professions 
private school	 types of schools 
private sector	 sectors 
privatization	 privatizations 
privilege	 legal concepts 
prize	 awards 
probability	 probability 
probability measure	 measure 
probe	 used for scientific research 
problem	 issues 
procedure	 components of a medical exam 
proceeding	 actions 
process	 cause a desire to drinks 
processing	 computer science 
procession	 types of events 
processor	 parts of a computer 
procurement	 acquisition 
producer	 roles in the entertainment industry 
production	 elements of a play 
